2026-04-15 15:20:57,141 | WARNING  | llm_decision_agent | Ollama is running but no models are installed. Run: ollama pull mistral
2026-04-15 15:20:57,680 | INFO     | ai_pipeline | Loaded — shape: (185950, 11)
2026-04-15 15:20:58,169 | INFO     | profiler | Profiling complete — 11 columns analysed.
2026-04-15 15:20:58,583 | INFO     | issue_detector | [HIGH] outliers — 'Price Each' has 37,007 outliers (19.9%) by IQR method
2026-04-15 15:20:58,583 | INFO     | issue_detector | [HIGH] outliers — 'Sales' has 37,027 outliers (19.9%) by IQR method
2026-04-15 15:20:58,583 | INFO     | issue_detector | [LOW] outliers — 'Unnamed: 0' has 1,273 outliers (0.7%) by IQR method
2026-04-15 15:20:58,583 | INFO     | issue_detector | [LOW] high_skewness — 'Quantity Ordered' is highly skewed (skew=5.28) — may need log/sqrt transform
2026-04-15 15:20:58,583 | INFO     | issue_detector | [LOW] high_skewness — 'Price Each' is highly skewed (skew=2.80) — may need log/sqrt transform
2026-04-15 15:20:58,583 | INFO     | issue_detector | [LOW] high_skewness — 'Sales' is highly skewed (skew=2.80) — may need log/sqrt transform
2026-04-15 15:20:58,583 | INFO     | issue_detector | [LOW] string_whitespace — 'City' contains entries with leading/trailing whitespace
2026-04-15 15:20:58,583 | INFO     | issue_detector | [INFO] high_cardinality — 'Order Date' has 142395 unique values — may be an ID or free text
2026-04-15 15:20:58,595 | INFO     | issue_detector | [INFO] high_cardinality — 'Purchase Address' has 140787 unique values — may be an ID or free text
2026-04-15 15:20:58,595 | INFO     | issue_detector | Issue detection complete — 9 issues found.
2026-04-15 15:20:58,601 | WARNING  | llm_decision_agent | LLM unavailable — using rule-based fallback proposals.
2026-04-15 15:20:58,601 | INFO     | llm_decision_agent | Generated 4 proposals.
2026-04-15 15:20:58,601 | INFO     | approval_layer | ApprovalLayer: 4 proposals presented for review.
2026-04-15 15:21:58,606 | INFO     | approval_layer | ❌  P-001 · outlier_clip on Price Each
2026-04-15 15:21:58,608 | INFO     | approval_layer | ✏️  P-002 · outlier_remove on Sales
2026-04-15 15:21:58,611 | INFO     | approval_layer | ❌  P-003 · outlier_clip on Unnamed: 0
2026-04-15 15:21:58,612 | INFO     | approval_layer | ❌  P-004 · normalize_text on City
2026-04-15 15:22:02,840 | INFO     | approval_layer | ApprovalLayer: 1 / 4 proposals converted to cleaning actions.
2026-04-15 15:22:02,845 | INFO     | ai_pipeline | Approval summary: 0 approved, 3 rejected, 1 modified, 0 pending
2026-04-15 15:22:02,907 | INFO     | cleaning_agent | Cleaning complete — 1 changes applied, 148923 rows retained.
2026-04-15 15:22:03,500 | INFO     | evaluation_agent | Report saved → outputs\reports\cleaning_report.json
2026-04-15 15:22:03,500 | INFO     | evaluation_agent | Quality score: 98.8 → 99.8 (+0.9 pts)
2026-04-15 15:22:03,514 | INFO     | evaluation_agent | Missing: 0.00% → 0.00%  |  Duplicates: 0.00% → 0.00%  |  Outliers: 5.79% → 1.03%
2026-04-15 15:22:03,514 | INFO     | evaluation_agent | Rows retained: 148923 / 185950 (80.1%)
2026-04-15 15:25:00,648 | WARNING  | llm_decision_agent | Ollama is running but no models are installed. Run: ollama pull mistral
2026-04-15 15:25:00,940 | INFO     | ai_pipeline | Loaded — shape: (3024, 12)
2026-04-15 15:25:01,011 | INFO     | profiler | Profiling complete — 12 columns analysed.
2026-04-15 15:25:01,066 | INFO     | issue_detector | [MEDIUM] missing_values — 'Index_Change_Percent' has 5.3% missing values (161 rows)
2026-04-15 15:25:01,069 | INFO     | issue_detector | [MEDIUM] missing_values — 'Sentiment' has 5.7% missing values (171 rows)
2026-04-15 15:25:01,070 | INFO     | issue_detector | [MEDIUM] missing_values — 'News_Url' has 5.1% missing values (153 rows)
2026-04-15 15:25:01,072 | INFO     | issue_detector | [LOW] missing_values — 'Headline' has 4.9% missing values (148 rows)
2026-04-15 15:25:01,072 | INFO     | issue_detector | [INFO] high_cardinality — 'Date' has 195 unique values — may be an ID or free text
2026-04-15 15:25:01,072 | INFO     | issue_detector | Issue detection complete — 5 issues found.
2026-04-15 15:25:01,072 | WARNING  | llm_decision_agent | LLM unavailable — using rule-based fallback proposals.
2026-04-15 15:25:01,072 | INFO     | llm_decision_agent | Generated 4 proposals.
2026-04-15 15:25:01,072 | INFO     | approval_layer | ApprovalLayer: 4 proposals presented for review.
2026-04-15 15:25:20,395 | INFO     | approval_layer | ✅  P-001 · impute on Index_Change_Percent
2026-04-15 15:25:20,395 | INFO     | approval_layer | ✅  P-002 · impute on Sentiment
2026-04-15 15:25:20,395 | INFO     | approval_layer | ✅  P-003 · impute on News_Url
2026-04-15 15:25:20,395 | INFO     | approval_layer | ✅  P-004 · impute on Headline
2026-04-15 15:25:24,578 | INFO     | approval_layer | ApprovalLayer: 4 / 4 proposals converted to cleaning actions.
2026-04-15 15:25:24,578 | INFO     | ai_pipeline | Approval summary: 4 approved, 0 rejected, 0 modified, 0 pending
2026-04-15 15:25:24,597 | INFO     | cleaning_agent | Cleaning complete — 4 changes applied, 3024 rows retained.
2026-04-15 15:25:24,651 | INFO     | evaluation_agent | Report saved → outputs\reports\cleaning_report.json
2026-04-15 15:25:24,652 | INFO     | evaluation_agent | Quality score: 99.5 → 100.0 (+0.5 pts)
2026-04-15 15:25:24,654 | INFO     | evaluation_agent | Missing: 1.74% → 0.00%  |  Duplicates: 0.00% → 0.00%  |  Outliers: 0.00% → 0.00%
2026-04-15 15:25:24,655 | INFO     | evaluation_agent | Rows retained: 3024 / 3024 (100.0%)
2026-04-16 23:28:09,635 | WARNING  | llm_decision_agent | Ollama is not running. Start it with: ollama serve
Then pull a model: ollama pull mistral
2026-04-16 23:28:09,961 | INFO     | ai_pipeline | Loaded — shape: (3024, 12)
2026-04-16 23:28:10,021 | INFO     | profiler | Profiling complete — 12 columns analysed.
2026-04-16 23:28:10,057 | INFO     | issue_detector | [MEDIUM] missing_values — 'Index_Change_Percent' has 5.3% missing values (161 rows)
2026-04-16 23:28:10,059 | INFO     | issue_detector | [MEDIUM] missing_values — 'Sentiment' has 5.7% missing values (171 rows)
2026-04-16 23:28:10,059 | INFO     | issue_detector | [MEDIUM] missing_values — 'News_Url' has 5.1% missing values (153 rows)
2026-04-16 23:28:10,059 | INFO     | issue_detector | [LOW] missing_values — 'Headline' has 4.9% missing values (148 rows)
2026-04-16 23:28:10,059 | INFO     | issue_detector | [INFO] high_cardinality — 'Date' has 195 unique values — may be an ID or free text
2026-04-16 23:28:10,059 | INFO     | issue_detector | Issue detection complete — 5 issues found.
2026-04-16 23:28:10,067 | WARNING  | llm_decision_agent | LLM unavailable — using rule-based fallback proposals.
2026-04-16 23:28:10,067 | INFO     | llm_decision_agent | Generated 4 proposals.
2026-04-16 23:28:10,067 | INFO     | approval_layer | ApprovalLayer: 4 proposals presented for review.
2026-04-16 23:32:23,472 | INFO     | approval_layer | ✅  P-001 · impute on Index_Change_Percent
2026-04-16 23:32:23,472 | INFO     | approval_layer | ✅  P-002 · impute on Sentiment
2026-04-16 23:32:23,472 | INFO     | approval_layer | ✅  P-003 · impute on News_Url
2026-04-16 23:32:23,472 | INFO     | approval_layer | ✅  P-004 · impute on Headline
2026-04-16 23:32:27,579 | INFO     | approval_layer | ApprovalLayer: 4 / 4 proposals converted to cleaning actions.
2026-04-16 23:32:27,579 | INFO     | ai_pipeline | Approval summary: 4 approved, 0 rejected, 0 modified, 0 pending
2026-04-16 23:32:27,645 | INFO     | cleaning_agent | Cleaning complete — 4 changes applied, 3024 rows retained.
2026-04-16 23:32:27,685 | INFO     | evaluation_agent | Report saved → outputs\reports\cleaning_report.json
2026-04-16 23:32:27,687 | INFO     | evaluation_agent | Quality score: 99.5 → 100.0 (+0.5 pts)
2026-04-16 23:32:27,689 | INFO     | evaluation_agent | Missing: 1.74% → 0.00%  |  Duplicates: 0.00% → 0.00%  |  Outliers: 0.00% → 0.00%
2026-04-16 23:32:27,692 | INFO     | evaluation_agent | Rows retained: 3024 / 3024 (100.0%)
2026-04-17 00:23:56,595 | INFO     | llm_decision_agent | Ollama ready. Available models: ['mistral:latest']
2026-04-17 00:23:57,227 | INFO     | ai_pipeline | Loaded — shape: (185950, 11)
2026-04-17 00:23:57,782 | INFO     | profiler | Profiling complete — 11 columns analysed.
2026-04-17 00:23:58,169 | INFO     | issue_detector | [HIGH] outliers — 'Price Each' has 37,007 outliers (19.9%) by IQR method
2026-04-17 00:23:58,169 | INFO     | issue_detector | [HIGH] outliers — 'Sales' has 37,027 outliers (19.9%) by IQR method
2026-04-17 00:23:58,171 | INFO     | issue_detector | [LOW] outliers — 'Unnamed: 0' has 1,273 outliers (0.7%) by IQR method
2026-04-17 00:23:58,171 | INFO     | issue_detector | [LOW] high_skewness — 'Quantity Ordered' is highly skewed (skew=5.28) — may need log/sqrt transform
2026-04-17 00:23:58,171 | INFO     | issue_detector | [LOW] high_skewness — 'Price Each' is highly skewed (skew=2.80) — may need log/sqrt transform
2026-04-17 00:23:58,171 | INFO     | issue_detector | [LOW] high_skewness — 'Sales' is highly skewed (skew=2.80) — may need log/sqrt transform
2026-04-17 00:23:58,175 | INFO     | issue_detector | [LOW] string_whitespace — 'City' contains entries with leading/trailing whitespace
2026-04-17 00:23:58,177 | INFO     | issue_detector | [INFO] high_cardinality — 'Order Date' has 142395 unique values — may be an ID or free text
2026-04-17 00:23:58,178 | INFO     | issue_detector | [INFO] high_cardinality — 'Purchase Address' has 140787 unique values — may be an ID or free text
2026-04-17 00:23:58,178 | INFO     | issue_detector | Issue detection complete — 9 issues found.
2026-04-17 00:26:00,212 | ERROR    | llm_decision_agent | LLM proposal generation failed: timed out
2026-04-17 00:26:00,231 | INFO     | llm_decision_agent | Generated 4 proposals.
2026-04-17 00:26:00,261 | INFO     | approval_layer | ApprovalLayer: 4 proposals presented for review.
2026-04-17 04:06:01,510 | INFO     | llm_decision_agent | Ollama ready. Available models: ['mistral:latest']
2026-04-17 04:06:01,636 | INFO     | ai_pipeline | Loaded — shape: (8807, 12)
2026-04-17 04:06:01,766 | INFO     | profiler | Profiling complete — 12 columns analysed.
2026-04-17 04:06:01,868 | INFO     | issue_detector | [HIGH] missing_values — 'director' has 29.9% missing values (2,634 rows)
2026-04-17 04:06:01,869 | INFO     | issue_detector | [MEDIUM] missing_values — 'cast' has 9.4% missing values (825 rows)
2026-04-17 04:06:01,869 | INFO     | issue_detector | [MEDIUM] missing_values — 'country' has 9.4% missing values (831 rows)
2026-04-17 04:06:01,869 | INFO     | issue_detector | [MEDIUM] outliers — 'release_year' has 719 outliers (8.2%) by IQR method
2026-04-17 04:06:01,869 | INFO     | issue_detector | [LOW] missing_values — 'date_added' has 0.1% missing values (10 rows)
2026-04-17 04:06:01,877 | INFO     | issue_detector | [LOW] missing_values — 'rating' has 0.0% missing values (4 rows)
2026-04-17 04:06:01,877 | INFO     | issue_detector | [LOW] missing_values — 'duration' has 0.0% missing values (3 rows)
2026-04-17 04:06:01,877 | INFO     | issue_detector | [LOW] high_skewness — 'release_year' is highly skewed (skew=-3.44) — may need log/sqrt transform
2026-04-17 04:06:01,884 | INFO     | issue_detector | [INFO] high_cardinality — 'show_id' has 8807 unique values — may be an ID or free text
2026-04-17 04:06:01,884 | INFO     | issue_detector | [INFO] high_cardinality — 'title' has 8807 unique values — may be an ID or free text
2026-04-17 04:06:01,884 | INFO     | issue_detector | [INFO] high_cardinality — 'director' has 4528 unique values — may be an ID or free text
2026-04-17 04:06:01,889 | INFO     | issue_detector | [INFO] high_cardinality — 'cast' has 7692 unique values — may be an ID or free text
2026-04-17 04:06:01,891 | INFO     | issue_detector | [INFO] high_cardinality — 'country' has 748 unique values — may be an ID or free text
2026-04-17 04:06:01,893 | INFO     | issue_detector | [INFO] high_cardinality — 'date_added' has 1767 unique values — may be an ID or free text
2026-04-17 04:06:01,893 | INFO     | issue_detector | [INFO] high_cardinality — 'duration' has 220 unique values — may be an ID or free text
2026-04-17 04:06:01,895 | INFO     | issue_detector | [INFO] high_cardinality — 'listed_in' has 514 unique values — may be an ID or free text
2026-04-17 04:06:01,896 | INFO     | issue_detector | [INFO] high_cardinality — 'description' has 8775 unique values — may be an ID or free text
2026-04-17 04:06:01,898 | INFO     | issue_detector | Issue detection complete — 17 issues found.
2026-04-17 04:06:20,742 | ERROR    | llm_decision_agent | LLM proposal generation failed: Cannot reach Ollama at http://localhost:11434. Make sure 'ollama serve' is running.
2026-04-17 04:06:20,745 | INFO     | llm_decision_agent | Generated 7 proposals.
2026-04-17 04:06:20,745 | INFO     | approval_layer | ApprovalLayer: 7 proposals presented for review.
2026-04-17 04:08:10,356 | INFO     | approval_layer | ✅  P-001 · impute on director
2026-04-17 04:08:10,359 | INFO     | approval_layer | ✅  P-002 · impute on cast
2026-04-17 04:08:10,360 | INFO     | approval_layer | ✅  P-003 · impute on country
2026-04-17 04:08:10,362 | INFO     | approval_layer | ✅  P-004 · outlier_clip on release_year
2026-04-17 04:08:10,363 | INFO     | approval_layer | ✅  P-005 · impute on date_added
2026-04-17 04:08:10,364 | INFO     | approval_layer | ✅  P-006 · impute on rating
2026-04-17 04:08:10,366 | INFO     | approval_layer | ✅  P-007 · impute on duration
2026-04-17 04:08:14,529 | INFO     | approval_layer | ApprovalLayer: 7 / 7 proposals converted to cleaning actions.
2026-04-17 04:08:14,535 | INFO     | ai_pipeline | Approval summary: 7 approved, 0 rejected, 0 modified, 0 pending
2026-04-17 04:08:14,602 | INFO     | cleaning_agent | Cleaning complete — 7 changes applied, 8807 rows retained.
2026-04-17 04:08:14,679 | INFO     | evaluation_agent | Report saved → outputs\reports\cleaning_report.json
2026-04-17 04:08:14,680 | INFO     | evaluation_agent | Quality score: 97.1 → 100.0 (+2.9 pts)
2026-04-17 04:08:14,681 | INFO     | evaluation_agent | Missing: 4.08% → 0.00%  |  Duplicates: 0.00% → 0.00%  |  Outliers: 8.16% → 0.00%
2026-04-17 04:08:14,682 | INFO     | evaluation_agent | Rows retained: 8807 / 8807 (100.0%)
2026-04-17 04:11:09,594 | WARNING  | llm_decision_agent | Ollama is not running. Start it with: ollama serve
Then pull a model: ollama pull mistral
2026-04-17 04:11:10,813 | INFO     | ai_pipeline | Loaded — shape: (1540609, 3)
2026-04-17 04:11:12,946 | INFO     | profiler | Profiling complete — 3 columns analysed.
